"locus","reason"
"uce-591","lnl_outlier"
"uce-3030","lnl_outlier"
"uce-1482","lnl_outlier"
"uce-1539","lnl_outlier"
"uce-3153","lnl_outlier"
"AHE-L298","lnl_outlier"
"uce-6524","lnl_outlier"
"ZFP36L1","lnl_outlier"
"uce-3097","lnl_outlier"
"AHE-L385","lnl_outlier"
"uce-1602","lnl_outlier"
"uce-2966","lnl_outlier"
"uce-5582","lnl_outlier"
"AHE-L97","lnl_outlier"
"uce-1260","lnl_outlier"
"uce-6166","lnl_outlier"
"AHE-L150","lnl_outlier"
"AHE-L62","lnl_outlier"
"uce-5084","lnl_outlier"
"uce-1304","lnl_outlier"
"PRDM9","lnl_outlier"
"uce-1601","lnl_outlier"
"uce-6640","lnl_outlier"
"uce-1555","lnl_outlier"
"AHE-L194","lnl_outlier"
"uce-6830","lnl_outlier"
"uce-2728","lnl_outlier"
"uce-5538","lnl_outlier"
"uce-4427","lnl_outlier"
"uce-725","lnl_outlier"
"uce-3627","lnl_outlier"
"uce-4425","lnl_outlier"
"uce-103","lnl_outlier"
"PRDM9KRAB","lnl_outlier"
"uce-621","lnl_outlier"
"AHE-L136","lnl_outlier"
"uce-6492","lnl_outlier"
"uce-2515","lnl_outlier"
"AHE-L14","lnl_outlier"
"uce-497","lnl_outlier"
"uce-4569","lnl_outlier"
"uce-2645","lnl_outlier"
"AHE-L341","lnl_outlier"
"AHE-L348","lnl_outlier"
"AHE-L209","lnl_outlier"
"uce-3914","lnl_outlier"
"uce-3604","lnl_outlier"
"uce-655","lnl_outlier"
"uce-1910","lnl_outlier"
"uce-1205","lnl_outlier"
"uce-1358","lnl_outlier"
"AHE-L69","lnl_outlier"
"uce-2932","lnl_outlier"
"uce-5502","lnl_outlier"
"uce-2179","lnl_outlier"
"uce-408","lnl_outlier"
"uce-2508","lnl_outlier"
"uce-7614","lnl_outlier"
"AHE-L318","lnl_outlier"
"uce-6818","lnl_outlier"
"AHE-L391","lnl_outlier"
"uce-5363","lnl_outlier"
"uce-1038","lnl_outlier"
"uce-7078","lnl_outlier"
"uce-1041","lnl_outlier"
"uce-5060","lnl_outlier"
"AHE-L357","lnl_outlier"
"uce-1335","lnl_outlier"
"AHE-L335","lnl_outlier"
"uce-4940","lnl_outlier"
"uce-3933","lnl_outlier"
"AHE-L349","lnl_outlier"
"uce-2057","lnl_outlier"
"uce-154","lnl_outlier"
"uce-2252","lnl_outlier"
"AHE-L287","lnl_outlier"
"AHE-L47","lnl_outlier"
"uce-3765","lnl_outlier"
"uce-3801","lnl_outlier"
"uce-6069","lnl_outlier"
"uce-3318","lnl_outlier"
"uce-62","lnl_outlier"
"AHE-L166","lnl_outlier"
"uce-4353","lnl_outlier"
"uce-3631","lnl_outlier"
"uce-5769","lnl_outlier"
"uce-7554","lnl_outlier"
"uce-5090","lnl_outlier"
"uce-3393","lnl_outlier"
"AHE-L328","lnl_outlier"
"uce-7371","lnl_outlier"
"AHE-L146","lnl_outlier"
"uce-943","lnl_outlier"
"uce-15","lnl_outlier"
"uce-5642","lnl_outlier"
"uce-7706","lnl_outlier"
"uce-2341","lnl_outlier"
"AHE-L402","lnl_outlier"
"AHE-L137","lnl_outlier"
"AHE-L185","lnl_outlier"
"uce-5577","lnl_outlier"
"uce-4312","lnl_outlier"
"uce-1309","lnl_outlier"
"uce-3380","lnl_outlier"
"uce-148","lnl_outlier"
"uce-2869","lnl_outlier"
"uce-2594","lnl_outlier"
"uce-320","lnl_outlier"
"uce-6186","lnl_outlier"
"uce-1048","lnl_outlier"
"AHE-L124","lnl_outlier"
"uce-5602","lnl_outlier"
"uce-8037","lnl_outlier"
"uce-1422","lnl_outlier"
"uce-6065","lnl_outlier"
"uce-6218","lnl_outlier"
"PRDM9ZF","lnl_outlier"
"uce-4339","lnl_outlier"
"uce-5435","lnl_outlier"
"uce-1306","lnl_outlier"
"uce-3509","lnl_outlier"
"uce-853","lnl_outlier"
"BACH1","lnl_outlier"
"uce-7323","lnl_outlier"
"AHE-L42","lnl_outlier"
"AHE-L156","lnl_outlier"
"uce-5923","lnl_outlier"
"AHE-L38","lnl_outlier"
"AHE-L162","lnl_outlier"
"AHE-L389","lnl_outlier"
"uce-3454","lnl_outlier"
"uce-6706","lnl_outlier"
"uce-5219","lnl_outlier"
"uce-6970","lnl_outlier"
"uce-2267","lnl_outlier"
"uce-5204","lnl_outlier"
"uce-6360","lnl_outlier"
"uce-1143","lnl_outlier"
"uce-5986","lnl_outlier"
"uce-613","lnl_outlier"
"uce-7213","lnl_outlier"
"uce-1754","lnl_outlier"
"uce-6418","lnl_outlier"
"uce-1158","lnl_outlier"
"uce-7429","lnl_outlier"
"uce-2010","lnl_outlier"
"uce-8041","lnl_outlier"
"uce-3185","lnl_outlier"
"uce-7011","lnl_outlier"
"uce-3340","lnl_outlier"
"uce-6641","lnl_outlier"
"uce-2034","lnl_outlier"
"uce-1504","lnl_outlier"
"uce-4159","lnl_outlier"
"AHE-L195","lnl_outlier"
"uce-6407","lnl_outlier"
"AHE-L270","lnl_outlier"
"uce-1770","lnl_outlier"
"uce-7146","lnl_outlier"
"uce-422","lnl_outlier"
"AHE-L94","lnl_outlier"
"uce-7","lnl_outlier"
"uce-1800","lnl_outlier"
"uce-1427","lnl_outlier"
"uce-2566","lnl_outlier"
"uce-221","lnl_outlier"
"uce-2312","lnl_outlier"
"uce-6355","lnl_outlier"
"uce-367","lnl_outlier"
"uce-4301","lnl_outlier"
"uce-3623","lnl_outlier"
"uce-256","lnl_outlier"
"AHE-L311","lnl_outlier"
"uce-5442","lnl_outlier"
"uce-492","lnl_outlier"
"AHE-L29","lnl_outlier"
"uce-1805","lnl_outlier"
"uce-7281","lnl_outlier"
"uce-385","lnl_outlier"
"uce-2877","lnl_outlier"
"AHE-L282","lnl_outlier"
"uce-6058","lnl_outlier"
"uce-5495","lnl_outlier"
"uce-7684","lnl_outlier"
"uce-5460","lnl_outlier"
"uce-4931","lnl_outlier"
"uce-7322","lnl_outlier"
"uce-1748","lnl_outlier"
"AHE-L212","lnl_outlier"
"uce-7977","lnl_outlier"
"uce-6091","lnl_outlier"
"AHE-L93","lnl_outlier"
"uce-4945","lnl_outlier"
"uce-5092","lnl_outlier"
"uce-5626","lnl_outlier"
"uce-5166","lnl_outlier"
"uce-6658","lnl_outlier"
"uce-1339","lnl_outlier"
"uce-3249","lnl_outlier"
"uce-3680","lnl_outlier"
"uce-4256","lnl_outlier"
"uce-5062","lnl_outlier"
"uce-861","lnl_outlier"
"AHE-L268","lnl_outlier"
"uce-1052","lnl_outlier"
"uce-3466","lnl_outlier"
"AHE-L237","lnl_outlier"
"uce-1975","lnl_outlier"
"uce-6311","lnl_outlier"
"uce-7708","lnl_outlier"
"uce-867","lnl_outlier"
"AHE-L331","lnl_outlier"
"uce-3463","lnl_outlier"
"uce-2208","lnl_outlier"
"uce-2053","lnl_outlier"
"AHE-L66","lnl_outlier"
"uce-2378","lnl_outlier"
"uce-286","lnl_outlier"
"uce-1477","lnl_outlier"
"uce-7259","lnl_outlier"
"uce-837","lnl_outlier"
"uce-6034","lnl_outlier"
"uce-3884","lnl_outlier"
"uce-235","lnl_outlier"
"uce-5395","lnl_outlier"
"uce-7592","lnl_outlier"
"uce-7567","lnl_outlier"
"uce-4433","lnl_outlier"
"uce-2651","lnl_outlier"
"uce-7572","lnl_outlier"
"uce-6464","lnl_outlier"
"uce-5788","lnl_outlier"
