"","partition","left","right","RSS","ESS","R2"
"1",NA,"Gyalopion_quadrangulare","Dibamus_montanus",2620.4403578193,0,0
"2",6897,"Gyalopion_quadrangulare","Proatheris_superciliaris",1414.74150971931,1205.6988481,0.46
"3",8991,"Liolaemus_tehuelche","Phymaturus_maulense",1024.70098567097,1595.73937214834,0.609
"4",6889,"Gyalopion_quadrangulare","Shinisaurus_crocodilurus",924.511442525527,1695.92891529378,0.647
"5",8140,"Psammophis_orientalis","Hologerrhum_philippinum",867.707756747555,1752.73260107175,0.669
"6",11162,"Aspidoscelis_laredoensis","Ameivula_mumbuca",815.884759746775,1804.55559807253,0.689
"7",12967,"Cyrtodactylus_huongsonensis","Cyrtodactylus_bhupathyi",760.983610362024,1859.45674745728,0.71
"8",10779,"Darevskia_unisexualis","Darevskia_bithynica",708.475937194029,1911.96442062528,0.73
"9",8907,"Typhlops_sylleptor","Cubatyphlops_caymanensis",660.989420828276,1959.45093699103,0.748
"10",7383,"Thamnophis_lineri","Regina_septemvittata",618.097313656191,2002.34304416311,0.764
"11",7908,"Hydrophis_lamberti","Hydrophis_hardwickii",573.516529740533,2046.92382807877,0.781
"12",13548,"Diplodactylus_laevis","Saltuarius_cornutus",531.385402095854,2089.05495572345,0.797
"13",8992,"Liolaemus_tehuelche","Liolaemus_chavin",492.774189522364,2127.66616829694,0.812
"14",9804,"Sceloporus_taeniocnemis","Sceloporus_graciosus",461.910568990088,2158.52978882922,0.824
"15",10557,"Varanus_cerambonensis","Varanus_griseus",428.659894621654,2191.78046319765,0.836
